page,title,description,canonical,robots,content_support_added
about-us.html,About screenings4u | Nationwide Screening & Compliance,"Learn about screenings4u and our approach to personal testing, workplace services, DOT support, and professional training.",https://screenings4u.com/about-us.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
accessibility.html,Accessibility | screenings4u,Read the screenings4u accessibility statement and learn about our commitment to providing an accessible website experience.,https://screenings4u.com/accessibility.html,"noindex,nofollow,noarchive",no
audit-preparation.html,Audit Preparation | screenings4u,"Prepare your team, records and internal processes for an upcoming workplace or regulatory review.",https://screenings4u.com/audit-preparation.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
background-checks.html,Employment Background Checks | screenings4u,"Comprehensive background checks including criminal records, MVR, employment and education verification, with reports typically available within 48 hours or less.",https://screenings4u.com/background-checks.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
become-a-clearinghouse-consortium-third-party-administrator.html,Become a Certified Clearinghouse C/TPA | screenings4u,"Become a Certified Clearinghouse C/TPA with screenings4u. Add FMCSA Clearinghouse management, driver query support, violation reporting workflows, and DOT consortium services to your business.",https://screenings4u.com/become-a-clearinghouse-consortium-third-party-administrator.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
blog.html,Blog | screenings4u,"Screenings4u articles about drug and alcohol testing, DOT compliance, workplace screening, and training.",https://screenings4u.com/blog.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
business-services.html,Employer Drug Testing & Screening Services | screenings4u,"Employer screening services including workplace drug testing, DOT programs, background checks, mobile testing and compliance support.",https://screenings4u.com/business-services.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
checkout.html,Checkout | screenings4u,"Secure screenings4u website page for drug and alcohol testing, DOT compliance, training, and related services.",https://screenings4u.com/checkout.html,"noindex,nofollow,noarchive",no
compliance-guidance.html,Compliance Guidance | screenings4u,Get practical direction when your workplace program team needs help determining the next step.,https://screenings4u.com/compliance-guidance.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
consulting-services.html,DOT & Workplace Compliance Consulting | screenings4u,"Practical DOT and workplace drug-testing compliance consulting for policies, audits, recordkeeping, workflows and program assessment.",https://screenings4u.com/consulting-services.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",yes
contact.html,Contact screenings4u | Testing & Compliance Support,"Contact screenings4u for testing, employer services, compliance, training, and account support.",https://screenings4u.com/contact.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
cookie-policy.html,Cookie Policy | screenings4u,How screenings4u uses cookies and similar technologies.,https://screenings4u.com/cookie-policy.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
court-ordered-etg-drug-and-alcohol-testing.html,Court-Ordered & ETG Drug Testing | screenings4u,"Court-ordered drug, alcohol and ETG testing for probation, family court, parole, DUI and other legal or monitoring requirements.",https://screenings4u.com/court-ordered-etg-drug-and-alcohol-testing.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
disclaimer.html,Disclaimer | screenings4u,"Important disclaimers regarding screenings4u testing, compliance, training, background-screening, and website information.",https://screenings4u.com/disclaimer.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
dna-tests-chicago-il.html,"DNA Testing in Chicago, IL | Paternity & Family Tests | screenings4u","DNA testing in Chicago, IL for paternity, maternity, siblingship and other family relationship needs. Get clear guidance and professional collection support from screenings4u.",https://screenings4u.com/dna-tests-chicago-il.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",yes
donor-pass-location.html,Donor Pass Location | screenings4u,Choose a testing location and generate your screenings4u donor pass.,https://screenings4u.com/donor-pass-location.html,"noindex,nofollow,noarchive",no
donor-pass-result.html,Donor Pass Result | screenings4u,"View, download, or print your screenings4u donor pass and testing-location details.",https://screenings4u.com/donor-pass-result.html,"noindex,nofollow,noarchive",no
donor-pass.html,Donor Pass | screenings4u,Enter your testing location to generate a screenings4u donor pass.,https://screenings4u.com/donor-pass.html,"noindex,nofollow,noarchive",no
dot-breathalyzer-services.html,DOT Breath Alcohol Testing | Nationwide | screenings4u,"DOT breath alcohol testing with nationwide testing access and support for transportation employers, drivers and post-accident requirements.",https://screenings4u.com/dot-breathalyzer-services.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
dot-physical-exam-services.html,DOT Physical Exams | FMCSA Medical Exams | screenings4u,Schedule DOT physical exams for CDL medical certification and renewal with access to qualified exam locations and FMCSA-focused support.,https://screenings4u.com/dot-physical-exam-services.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",yes
dot-services.html,DOT Drug Testing & Compliance Services | screenings4u,"DOT drug testing, alcohol testing, physical exams, consortium support, post-accident testing and compliance services for transportation employers and drivers.",https://screenings4u.com/dot-services.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",yes
dot-specimen-collector-training-group-training.html,DOT Collector Group Training | screenings4u,"DOT Specimen Collector Group Training for teams and office staff through screenings4u. Customizable group training, live online workshops, interactive Q&A, supervisor awareness and advanced DOT compliance modules.",https://screenings4u.com/dot-specimen-collector-training-group-training.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
dot-specimen-collector-training.html,DOT Specimen Collector Training | screenings4u,"DOT specimen collector training covering 49 CFR Part 40 procedures, mock collections and certification-focused instruction.",https://screenings4u.com/dot-specimen-collector-training.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",yes
dot-urine-drug-tests.html,DOT Urine Drug Testing | Nationwide Collection | screenings4u,"DOT urine drug testing with nationwide collection access, compliant workflows and support for employers, owner-operators and commercial drivers.",https://screenings4u.com/dot-urine-drug-tests.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",yes
drug-alcohol-policy-creation.html,Drug & Alcohol Policy Creation for Employers | screenings4u,"Custom drug and alcohol policy creation for workplaces, with industry-specific compliance considerations, implementation guidance and flat-rate policy packages.",https://screenings4u.com/drug-alcohol-policy-creation.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
faqs.html,Frequently Asked Questions | screenings4u,"Answers to common questions about screenings4u drug and alcohol testing, DOT compliance, collection sites, results, employer services, and training.",https://screenings4u.com/faqs.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
house-lab-account-setup.html,House Lab Account Setup | screenings4u,"Set up a House Lab Account with screenings4u for supplies, tailored CCFs, workforce portal access, and testing support.",https://screenings4u.com/house-lab-account-setup.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
index copy.html,Index Copy | screenings4u,"screenings4u provides nationwide drug and alcohol testing, DOT compliance services, personal testing, employer solutions, and secure account access.",https://screenings4u.com/,"noindex,nofollow,noarchive",no
index.html,Nationwide Drug & Alcohol Testing | screenings4u,"Nationwide drug and alcohol testing, DOT compliance services, personal testing, employer screening, mobile collections, physicals, and professional training from screenings4u.",https://screenings4u.com/,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
industries-served.html,Drug Testing by Industry | screenings4u,"Industry-specific workplace drug and alcohol testing programs for transportation, construction, manufacturing, healthcare, staffing, government and small businesses.",https://screenings4u.com/industries-served.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
join-our-collector-network.html,Join Our Collector Network | screenings4u,Join the screenings4u Collector Network and receive opportunities for mobile drug and alcohol testing assignments in your area.,https://screenings4u.com/join-our-collector-network.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
mobile-drug-and-alcohol-testing.html,Mobile Drug & Alcohol Testing | screenings4u,"Mobile drug and alcohol testing for employers, transportation operations and workplace programs that need convenient on-site collection support.",https://screenings4u.com/mobile-drug-and-alcohol-testing.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",yes
new-entrant-audit.html,FMCSA New Entrant Audit Preparation | screenings4u,"Prepare for an FMCSA New Entrant Safety Audit with structured guidance for records, policies, testing responsibilities and compliance readiness.",https://screenings4u.com/new-entrant-audit.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
non-dot-breathalyzer-services.html,Non Dot Breathalyzer Services | screenings4u,"NON DOT breathalyzer testing for workplace policies, post-incident testing, legal requirements and personal use through screenings4u.",https://screenings4u.com/non-dot-breathalyzer-services.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
nursing-school-drug-tests.html,Nursing School Drug Testing | screenings4u,"Drug testing for nursing students and healthcare programs, with common panel options and nationwide collection access.",https://screenings4u.com/nursing-school-drug-tests.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
order-confirmation.html,Order Confirmation | screenings4u,"Secure screenings4u website page for drug and alcohol testing, DOT compliance, training, and related services.",https://screenings4u.com/order-confirmation.html,"noindex,nofollow,noarchive",no
personal-drug-and-alcohol-testing.html,Personal Drug & Alcohol Testing | screenings4u,"Professional drug and alcohol testing for individuals who need personal, court, school, employment or other testing services.",https://screenings4u.com/personal-drug-and-alcohol-testing.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
policy-review.html,Policy Review | screenings4u,"Review workplace testing and compliance policy language for clarity, completeness and alignment with your operation.",https://screenings4u.com/policy-review.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
post-accident-testing-form.html,Post Accident Testing Form | screenings4u,Request post-accident drug and alcohol testing services from screenings4u.,https://screenings4u.com/post-accident-testing-form.html,"noindex,nofollow,noarchive",no
post-accident-testing.html,DOT Post-Accident Drug & Alcohol Testing | screenings4u,DOT post-accident drug and alcohol testing support for commercial drivers and transportation employers when time-sensitive testing is required.,https://screenings4u.com/post-accident-testing.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
privacy.html,Privacy | screenings4u,"Read the screenings4u privacy policy to learn how information is collected, used, protected, and handled when you use our website and services.",https://screenings4u.com/privacy.html,"noindex,nofollow,noarchive",no
program-assessment.html,Program Assessment | screenings4u,"Review your workplace testing and compliance program to identify strengths, gaps and practical next steps.",https://screenings4u.com/program-assessment.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
recordkeeping-review.html,Recordkeeping Review | screenings4u,"Review how testing records, documents and supporting files are organized and maintained across your operation.",https://screenings4u.com/recordkeeping-review.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
refund-policy.html,Refund Policy | screenings4u,"screenings4u cancellation, rescheduling, and refund policy for testing, training, and related services.",https://screenings4u.com/refund-policy.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
service.html,Service | screenings4u,screenings4u service details and secure checkout.,https://screenings4u.com/service.html,"noindex,nofollow,noarchive",no
services.html,"Drug Testing, DOT & Screening Services | screenings4u","Browse screenings4u drug testing, alcohol testing, DOT services, physicals and professional training.",https://screenings4u.com/services.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
specimen_collector_training_supplies.html,Specimen Collector Training Supplies | screenings4u,Purchase the specimen collector training supplies needed to complete five DOT mock collections.,https://screenings4u.com/specimen_collector_training_supplies.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
start-a-mobile-drug-testing-business.html,Start a Mobile Drug Testing Business | screenings4u,"Learn how to start a mobile drug testing business with collector training, business development resources, laboratory relationships, and launch support from screenings4u.",https://screenings4u.com/start-a-mobile-drug-testing-business.html,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",no
